,Unnamed: 0,model,sim,additional_data,3G,4G,5G,Wi-Fi,VoLTE,Vo5G,NFC,extra_conecctions
491,491,Huawei Nova 10 SE,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, NFC,No data,No data,No data
492,492,Vivo T1x (4GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
494,494,Motorola Moto E32s (4GB RAM + 64GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
496,496,Samsung Galaxy A15,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
501,501,Xiaomi Redmi 11 Prime,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, IR Blaster,No data,No data,No data
502,502,Realme C31,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
503,503,Motorola Moto G31 (6GB RAM+ 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
505,505,OnePlus 6 (8GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, NFC,No data,No data,No data
506,506,Google Pixel 2 XL,Single Sim,No data, 3G,4G, VoLTE, Wi-Fi, NFC,No data,No data,No data
507,507,Xiaomi Redmi A1 Plus,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
509,509,Realme Narzo 50 (6GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
